Initial cash,Final cash,Total return,Trades,Win rate
10000.0,9887.535145267104,-1.1246485473289614,2,0.0
10000.0,10016.145510899943,0.16145510899943474,2,50.0
10000.0,9760.057316117929,-2.399426838820709,2,50.0
10000.0,9877.08329702583,-1.229167029741693,2,0.0
10000.0,10096.270072040747,0.9627007204074653,2,50.0
10000.0,9994.067663531832,-0.059323364681677045,2,50.0
10000.0,9568.355683127233,-4.316443168727674,2,50.0
10000.0,10756.44894492031,7.564489449203101,2,50.0
10000.0,9974.624706524057,-0.25375293475943184,2,50.0
10000.0,10056.165093482987,0.5616509348298677,2,50.0
10000.0,10011.81819659462,0.11818196594620531,2,50.0
10000.0,9909.42603977254,-0.9057396022746069,2,0.0
10000.0,9395.787139689577,-6.042128603104229,2,50.0
10000.0,10037.728574575898,0.37728574575898166,2,50.0
10000.0,9981.388386435761,-0.18611613564238721,2,50.0
10000.0,9971.12653099241,-0.2887346900759076,2,50.0
10000.0,10000.106289925154,0.0010628992515376013,2,50.0
10000.0,9906.50997577135,-0.9349002422864942,2,50.0
10000.0,9942.537884108182,-0.5746211589181803,2,0.0
10000.0,10052.231404958677,0.5223140495867665,2,50.0
10000.0,10069.623992446792,0.6962399244679182,2,50.0
10000.0,9873.71518844093,-1.2628481155906957,2,0.0
10000.0,10011.672501466679,0.11672501466679024,2,50.0
10000.0,9877.093884935057,-1.2290611506494316,2,0.0
10000.0,10000.0,0.0,0,0.0
10000.0,9673.643094146924,-3.2635690585307566,2,0.0
10000.0,9953.819228066455,-0.46180771933544745,2,0.0
10000.0,9724.538969202033,-2.754610307979674,2,0.0
10000.0,9752.339328738724,-2.4766067126127562,2,0.0
10000.0,10034.689908471604,0.34689908471604214,2,50.0
10000.0,9875.83256775379,-1.241674322462095,2,50.0
10000.0,9870.12987012987,-1.2987012987013076,1,0.0
10000.0,9968.695716556445,-0.313042834435546,2,0.0
10000.0,9531.732589419147,-4.682674105808528,1,0.0
10000.0,10135.32205563355,1.3532205563354909,2,50.0
10000.0,9981.013435979627,-0.1898656402037341,2,50.0
10000.0,10151.21630506246,1.5121630506246038,1,100.0
10000.0,10008.649649942365,0.08649649942364704,2,50.0
10000.0,10159.096741082883,1.5909674108288345,1,100.0
10000.0,9833.97646169669,-1.6602353830331047,2,0.0
10000.0,9610.34504992447,-3.8965495007553,2,50.0
10000.0,9925.943951541301,-0.7405604845869858,2,50.0
10000.0,9882.975972528211,-1.1702402747178895,2,0.0
10000.0,9905.72047874847,-0.9427952125153025,2,0.0
10000.0,9967.625702647929,-0.3237429735207115,2,50.0
10000.0,9905.143679355755,-0.94856320644245,2,50.0
10000.0,9664.732359560478,-3.3526764043952246,2,0.0
10000.0,10000.0,0.0,0,0.0
10000.0,10161.570787178363,1.6157078717836337,2,50.0
10000.0,10225.994340957526,2.2599434095752624,2,50.0
10000.0,9958.793135014757,-0.41206864985242647,2,50.0
10000.0,10043.20966562788,0.43209665627880894,2,50.0
10000.0,10488.669809649788,4.8866980964978755,2,100.0
10000.0,9769.625042400094,-2.3037495759990634,2,50.0
10000.0,9955.037401119303,-0.4496259888069653,2,50.0
10000.0,10012.482405120443,0.12482405120443217,2,50.0
10000.0,10141.261747971084,1.4126174797108433,2,50.0
10000.0,9888.431950695012,-1.1156804930498765,2,50.0
10000.0,9963.690248565963,-0.36309751434037024,2,50.0
10000.0,10102.561539634176,1.0256153963417638,2,50.0
10000.0,10050.289894775013,0.5028989477501272,2,50.0
10000.0,9998.999499870151,-0.010005001298486605,2,50.0
10000.0,10494.198538891276,4.941985388912762,2,100.0
10000.0,10064.469914040117,0.6446991404011715,2,50.0
10000.0,9848.971820752568,-1.5102817924743248,2,0.0
10000.0,9771.834622199905,-2.281653778000946,2,0.0
10000.0,10011.266018870581,0.1126601887058132,1,100.0
10000.0,10000.0,0.0,0,0.0
10000.0,9967.224799724212,-0.32775200275787936,2,50.0
10000.0,9883.333408427688,-1.1666659157231152,2,0.0
10000.0,10066.394474758652,0.6639447475865199,2,50.0
