Symbol,Entry_cp,Exit_cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown
1000CAT,-4.5,-2.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,-1.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,0.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,1.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,2.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,3.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,4.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-4.5,5.0,10000.0,10230.286637364292,2.302866373642919,2,50.0,0.5787553549200352,-5.150456440888082
1000CAT,-3.5,-2.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,-1.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,0.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,1.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,2.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,3.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,4.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
1000CAT,-3.5,5.0,10000.0,10329.010754492054,3.2901075449205384,3,66.66666666666666,0.7023755517135057,-4.235141183381582
