Symbol,Entry_cp,Exit_cp,Initial cash,Final cash,Total return,Trades,Win rate,Sharpe ratio,Max drawdown
1000CAT,-4.5,-2.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,-1.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,0.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,1.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,2.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,3.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,4.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-4.5,5.0,10000.0,9845.599008227207,-1.5440099177279263,2,50.0,-0.46517340877624613,-5.150456440888082
1000CAT,-3.5,-2.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,-1.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,0.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,1.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,2.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,3.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,4.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-3.5,5.0,10000.0,9940.610820128075,-0.5938917987192508,3,66.66666666666666,-0.09227772941333204,-4.235141183381582
1000CAT,-2.5,-2.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,-1.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,0.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,1.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,2.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,3.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,4.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-2.5,5.0,10000.0,8208.885046628857,-17.91114953371143,6,50.0,-0.76544630158653,-41.89435336976321
1000CAT,-1.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,-1.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,0.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,1.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,3.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,4.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-1.5,5.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-0.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,-0.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,-0.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,0.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,0.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,1.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,1.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,2.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,2.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,3.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,3.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,4.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,4.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,5.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,5.5,5.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,-2.0,10000.0,8532.413113360424,-14.675868866395758,10,60.0,-0.5023255699688285,-41.8943533697632
1000CAT,6.5,-1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,0.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,1.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,2.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,3.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
1000CAT,6.5,4.0,10000.0,8284.908000148445,-17.150919998515548,11,54.54545454545454,-0.587351912171855,-41.8943533697632
